Name,z,T_{m}keV,\beta,r_{c}kpc,n_{center}10-2cm-3,t_{cool}1010yr,\dot{M}M_{\odot}/yr
A3888,0.151,8.84^{+1.41}_{-1.24},0.928^{+0.084}_{-0.066},400^{+45}_{-39},0.52^{+0.04}_{-0.03},1.92^{+0.26}_{-0.25},0^{+0}_{-0}
A3921,0.0936,5.73^{+0.24}_{-0.23},0.762^{+0.036}_{-0.030},328^{+25}_{-23},0.34^{+0.01}_{-0.01},2.34^{+0.12}_{-0.12},0^{+0}_{-0}
AWM7,0.0172,3.75^{+0.09}_{-0.09},0.671^{+0.027}_{-0.025},173^{+17}_{-15},0.60^{+0.05}_{-0.05},1.10^{+0.11}_{-0.09},6^{+3}_{-4}
HCG94,0.0417,3.45^{+0.30}_{-0.30},0.514^{+0.007}_{-0.006},86^{+4}_{-3},0.70^{+0.02}_{-0.02},0.89^{+0.07}_{-0.07},6^{+3}_{-2}
IIZw108,0.0494,3.44^{+0.55}_{-0.48},0.662^{+0.167}_{-0.097},365^{+159}_{-105},0.14^{+0.04}_{-0.02},4.50^{+1.06}_{-1.04},0^{+0}_{-0}
M49,0.0044,0.95^{+0.02}_{-0.01},0.592^{+0.007}_{-0.007},10^{+0}_{-0},1.33^{+0.02}_{-0.02},0.12^{+0.00}_{-0.00},2^{+0}_{-0}
NGC499,0.0147,0.72^{+0.03}_{-0.02},0.722^{+0.034}_{-0.030},23^{+2}_{-1},0.94^{+0.10}_{-0.09},0.12^{+0.01}_{-0.01},11^{+4}_{-3}
NGC5813,0.0064,0.52^{+0.08}_{-0.07},0.766^{+0.179}_{-0.103},24^{+8}_{-5},0.90^{+0.18}_{-0.13},0.10^{+0.02}_{-0.02},9^{+11}_{-5}
NGC5846,0.0061,0.82^{+0.01}_{-0.01},0.599^{+0.016}_{-0.015},6^{+0}_{-0},3.56^{+0.22}_{-0.21},0.04^{+0.00}_{-0.00},2^{+0}_{-0}
OPHIUCHU,0.028,10.26^{+0.32}_{-0.32},0.747^{+0.035}_{-0.032},278^{+23}_{-21},0.68^{+0.04}_{-0.04},1.72^{+0.12}_{-0.10},0^{+0}_{-0}
PERSEUS,0.0183,6.79^{+0.12}_{-0.12},0.540^{+0.006}_{-0.004},63^{+2}_{-1},3.25^{+0.06}_{-0.05},0.28^{+0.01}_{-0.01},481^{+31}_{-32}
PKS0745,0.1028,7.21^{+0.11}_{-0.11},0.608^{+0.006}_{-0.006},71^{+2}_{-2},5.70^{+0.14}_{-0.15},0.16^{+0.00}_{-0.00},1424^{+150}_{-133}
RXJ2344,0.0786,4.73^{+0.76}_{-0.66},0.807^{+0.033}_{-0.030},300^{+19}_{-18},0.51^{+0.06}_{-0.05},1.43^{+0.24}_{-0.20},0^{+1}_{-0}
S405,0.0613,4.21^{+0.67}_{-0.59},0.664^{+0.263}_{-0.133},458^{+261}_{-158},0.12^{+0.05}_{-0.03},5.67^{+1.85}_{-1.74},0^{+0}_{-0}
S540,0.0358,2.40^{+0.38}_{-0.34},0.641^{+0.073}_{-0.051},130^{+38}_{-28},0.40^{+0.07}_{-0.05},1.23^{+0.23}_{-0.24},1^{+7}_{-1}
S636,0.0116,1.18^{+0.19}_{-0.17},0.752^{+0.217}_{-0.123},343^{+130}_{-86},0.07^{+0.01}_{-0.01},3.06^{+0.77}_{-0.65},0^{+0}_{-0}
TRIANGUL,0.051,9.50^{+0.70}_{-0.70},0.610^{+0.010}_{-0.010},278^{+10}_{-9},0.55^{+0.01}_{-0.01},1.98^{+0.12}_{-0.12},0^{+0}_{-0}
UGC03957,0.034,2.58^{+0.41}_{-0.36},0.740^{+0.133}_{-0.086},142^{+44}_{-33},0.48^{+0.08}_{-0.06},1.09^{+0.21}_{-0.20},8^{+11}_{-8}
ZwCl1742,0.0757,5.23^{+0.84}_{-0.73},0.717^{+0.073}_{-0.053},231^{+45}_{-38},0.60^{+0.11}_{-0.09},1.29^{+0.28}_{-0.23},0^{+23}_{-0}
