Name,z,T_m,beta,r_c,n_center,t_cool,M_dot,T_{h},r_{500}
NGC~5044,0.009,1.07,0.524,11,3.45,0.05,28,,
NGC~507,0.0165,1.26,0.444,19,1.16,0.22,14,1.22,0.69
S1101,0.058,3,0.639,55,2.9,0.2,299,1.4,0.67
ZwCl~1215,0.075,5.58,0.819,431,0.27,3,0,2.6,1.2
3C~129,0.0223,5.6,0.601,318,0.18,4.71,0,6.36,1.74
A0539,0.0288,3.24,0.561,147,0.72,0.84,3,5.57,1.51
A0548e,0.041,3.1,0.48,118,0.28,2.09,0,3.04,1.19
A0548w,0.0424,1.2,0.666,198,0.1,2.28,0,2.93,0.97
A0644,0.0704,7.1,0.7,202,0.78,1.18,16,1.68,0.85
A1413,0.1427,7.32,0.66,178,1.24,0.72,190,6.54,1.68
A1689,0.184,9.23,0.69,162,2.12,0.47,683,6.56,1.65
A1775,0.0757,3.69,0.673,259,0.3,2.16,0,8.58,1.84
A1800,0.0748,4.02,0.766,391,0.18,3.65,0,3.66,1.32
A1914,0.1712,10.53,0.751,230,1.12,0.97,180,5.02,1.49
A2151w,0.0369,2.4,0.564,68,0.82,0.6,30,8.41,1.72
A2319,0.0564,9.2,0.591,284,0.51,2.1,0,2.58,1
A2734,0.062,3.85,0.624,211,0.32,2.04,0,8.84,1.99
A2877,0.0241,3.5,0.566,189,0.19,3.33,0,5.07,1.4
A3395n,0.0498,4.8,0.981,672,0.1,7.33,0,3.5,1.64
A3528n,0.054,3.4,0.621,177,0.34,1.81,0,5.11,1.69
A3528s,0.0551,3.15,0.463,100,0.48,1.21,1,4.79,1.38
A3530,0.0544,3.89,0.773,420,0.13,5.27,0,4.6,1.17
A3532,0.0539,4.58,0.653,281,0.3,2.42,0,4.05,1.37
A3560,0.0495,3.16,0.566,255,0.17,3.47,0,4.41,1.57
A3627,0.0163,6.02,0.555,299,0.19,4.51,0,3.9,1.18
A3695,0.089,5.29,0.642,398,0.2,3.82,0,5.62,1.48
A3822,0.076,4.9,0.639,350,0.21,3.6,0,6.76,1.55
A3827,0.098,7.08,0.989,593,0.26,3.43,0,5.12,1.37
A3888,0.151,8.84,0.928,400,0.52,1.92,0,7.66,2.01
A3921,0.0936,5.73,0.762,328,0.34,2.34,0,8.68,2.38
AWM7,0.0172,3.75,0.671,173,0.6,1.1,6,5.39,1.51
HCG~94,0.0417,3.45,0.514,86,0.7,0.89,6,3.7,1.48
IIZw~108,0.0494,3.44,0.662,365,0.14,4.5,0,3.3,1.11
M~49,0.0044,0.95,0.592,10,1.33,0.12,2,4.28,1.32
NGC~499,0.0147,0.72,0.722,23,0.94,0.12,11,1.33,0.77
NGC~5813,0.0064,0.52,0.766,24,0.9,0.1,9,0.66,0.6
NGC~5846,0.0061,0.82,0.599,6,3.56,0.04,2,0.76,0.66
OPHIUCHU,0.028,10.26,0.747,278,0.68,1.72,0,0.64,0.49
PERSEUS,0.0183,6.79,0.54,63,3.25,0.28,481,10.25,2.91
PKS0745,0.1028,7.21,0.608,71,5.7,0.16,1424,6.42,1.58
RXJ2344,0.0786,4.73,0.807,300,0.51,1.43,0,6.37,1.54
S405,0.0613,4.21,0.664,458,0.12,5.67,0,5.52,1.7
S540,0.0358,2.4,0.641,130,0.4,1.23,1,5.02,1.39
S636,0.0116,1.18,0.752,343,0.07,3.06,0,3.09,1.16
TRIANGUL,0.051,9.5,0.61,278,0.55,1.98,0,2.06,1.01
UGC0~3957,0.034,2.58,0.74,142,0.48,1.09,8,9.06,2.07
ZwCl~1742,0.0757,5.23,0.717,231,0.6,1.29,0,3.21,1.28
,,,,,,,,6.05,1.78
